id;Nodo origen;Nodo destino;Tipo relacion;frecuencia;detalle;id_flujo;descripcion_flujo;secuencia_flujo;cypher
19;Operatyba;Neffi;MENSUAL;Mensual;Certificados Tributarios;0;tbd;0;"CREATE (Operatyba)-[frecuencia:MENSUAL{detalle:""Certificados Tributarios"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Neffi);"

20;PowerBI_IntNeg;Excel_IntNeg;MENSUAL;Mensual;Informaci¢n de clientes;0;tbd;0;"CREATE (PowerBI_IntNeg)-[frecuencia:MENSUAL{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Excel_IntNeg);"

21;Excel_IntNeg;ODSColombia;MENSUAL;Mensual;Informaci¢n de clientes;0;tbd;0;"CREATE (Excel_IntNeg)-[frecuencia:MENSUAL{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ODSColombia);"

22;ODSColombia;WM_Lab_CO;ONLINE;Online;Informaci¢n de clientes;0;tbd;0;"CREATE (ODSColombia)-[frecuencia:ONLINE{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(WM_Lab_CO);"

23;Orion;Excel_SaldosOrion;MENSUAL;Mensual;Saldos Comisionista;0;tbd;0;"CREATE (Orion)-[frecuencia:MENSUAL{detalle:""Saldos Comisionista"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Excel_SaldosOrion);"

24;Orion;BICORR;DIARIO;Diario;Saldos Comisionista;0;tbd;0;"CREATE (Orion)-[frecuencia:DIARIO{detalle:""Saldos Comisionista"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(BICORR);"

25;SalesforceSales;Orion;ONLINE;Online;Informaci¢n de clientes;0;tbd;0;"CREATE (SalesforceSales)-[frecuencia:ONLINE{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Orion);"

26;SalesforceSales;BICORR;DIARIO;Diario;Informaci¢n de clientes;0;tbd;0;"CREATE (SalesforceSales)-[frecuencia:DIARIO{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(BICORR);"

27;SalesforceSales;SIF;DIARIO;Diario;Informaci¢n de clientes;0;tbd;0;"CREATE (SalesforceSales)-[frecuencia:DIARIO{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(SIF);"

28;SalesforceSales;Sifi;DIARIO;Diario;Informaci¢n de clientes;0;tbd;0;"CREATE (SalesforceSales)-[frecuencia:DIARIO{detalle:""Informaci¢n de clientes"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Sifi);"

29;Sifi;BICORR;DIARIO;Diario;Saldos Fiduciaria;0;tbd;0;"CREATE (Sifi)-[frecuencia:DIARIO{detalle:""Saldos Fiduciaria"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(BICORR);"

30;SIF;BICORR;ONLINE;15 minutos;SyM Fondos GdA;0;tbd;0;"CREATE (SIF)-[frecuencia:ONLINE{detalle:""SyM Fondos GdA"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(BICORR);"

31;Operatyba;ERP;MENSUAL;Mensual;Comisiones FPV;0;tbd;0;"CREATE (Operatyba)-[frecuencia:MENSUAL{detalle:""Comisiones FPV"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(ERP);"

